# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\overworld.png	255	255	255
20	textures\misc.png	25	25	25
30	textures\Map\Overworld\overworld-1.png	255	255	255
70	textures\hud.png	25	25	25
80	textures\reward.png	255	255	255
110	textures\dialogs.png	25	25	25


# id	left	top	right	bottom	texture_id
[SPRITES]
# SMALL MARIO 
#small-overworld					
10098	1766	23	1810	73	0
10097	1817	23	1861	73	0

#BIG MARIO					
#big-overworld					
11016	1937	161	1987	226	0
11017	1994	161	2044	226	0

#RACCOON MARIO					
#racoon_overworld					
12024	2402	437	2452	511	0
12025	2459	437	2509	511	0
					
#HUD					
#board					
99900	34	382	734	469	70
#arrow sign WHITE					
99910	190	484	217	508	70
#arrow sign BLACK					
99911	274	484	296	508	70
#power sign WHITE					
99912	217	484	265	508	70
#power sign BLACK			
99913	301	484	343	508	70

#number					
99990	95	71	121	94	70
99991	161	71	181	94	70
99992	212	71	238	94	70
99993	269	71	295	94	70
99994	323	71	349	94	70
99995	380	71	406	94	70
99996	434	71	460	94	70
99997	485	71	511	94	70
99998	536	71	562	94	70
99999	590	71	616	94	70
#character
99001	645	70	671	95	70
99002	699	70	728	95	70
99003	95	115	121	142	70
99004	160	115	181	142	70
99005	212	115	238	142	70
99006	269	115	295	142	70
99007	323	115	349	142	70
99008	380	115	406	142	70
99009	434	115	460	142	70
99010	485	115	511	142	70
99011	536	115	562	142	70
99012	590	115	616	142	70
99013	645	115	671	142	70
99014	699	115	728	142	70
99015	95	162	121	191	70
99016	160	162	181	191	70
99017	212	162	238	191	70
99018	269	162	295	191	70
99019	323	162	349	191	70
99020	380	162	406	191	70
99021	434	162	460	191	70
99022	485	162	511	191	70
99023	536	162	562	191	70
99024	590	162	616	191	70
99025	645	162	671	191	70
99026	699	162	699	191	70

#card course clear					
#mushroom					
92001	256	142	325	223	80
#star					
92002	329	142	397	223	80
#white-flower					
92003	184	142	253	223	80

#card hud					
#mushroom					
93001	75	142	127	193	80
#star					
93002	130	142	181	193	80
#white-flower					
93003	21	142	73	193	80
#mushroom					
55100	14	80	64	130	80
55101	190	80	238	130	80
#star					
55102	134	80	184	130	80
55103	275	80	325	130	80
#white-flower					
55104	74	80	124	130	80
55105	233	80	278	130	80
#line					
55106	318	80	350	130	80

#help					
20001	0	0	0	0	10
20002	0	0	52	49	10
#tree					
20003	2	50	52	97	10
20004	53	50	103	97	10
20005	104	50	154	97	10
20006	155	50	205	97	10
#enemy					
20007	308	50	358	97	10
20008	359	50	409	97	10
#start					
20009	2	98	52	148	10
#M					
20010	53	0	103	49	10
#123456					
20011	104	98	154	148	10
20012	155	98	205	148	10
20013	206	98	256	148	10
20014	257	98	307	148	10
20015	308	98	358	148	10
20016	359	98	409	148	10
#bich					
20017	359	0	408	48	10

#star					
55001	602	362	652	412	20
#white-flower					
55002	1109	362	1159	412	20

#dialog game over					
21014	0	0	385	192	110
#dialog world					
21015	396	0	781	166	110

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== MARIO =========
#SMALL
#walk-overworld
198	10098	100	10097	100

#BIG
#big-overworl
143	11016	100	11017	100

#RACCOON
#racoon_overworld
178	12024	100	12025	100
#CARD
550	51001	200	55001	200	55002	200
#mushrom-card
551	55100	100	55101	100	55106	100
#star-card
552	55102	100	55103	100	55106	100
#white-flower-card
553	55104	100	55105	100	55106	100

#EFFECT-POINT
901	90100	100
902	90200	100
910	91000	100

#help
1001	20001	500	20002	500
#tree
1002	20003	300	20004	300	20005	300	20006	300
#enemy
1003	20007	100	20008	100
#M
1004	20010	100

#cardhud
531	93001	300	0	300
532	93001	100
533	93002	300	0	300
534	93002	100
535	93003	300	0	300
536	93003	100

#dialog
214	21014	100
215	21015	100

# id	ani1	ani2	ani3
[ANIMATION_SETS]
# MARIO
1	198	143	178

#card hud
53	531	532	533	534	535	536

#CARD
55	550	551	552	553

#help
2	1001
#tree
3	1002
#enemy
4	1003
#dialog
21	214	215
[OBJECTS]
# type	x	y	ani_set_id	item_id item_ani_id
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = red venus, 4= koopas, 5= fireball_pool
#item id: -1 = null, 100 = coin, 101 = leaf, 102 = mushroom
# MARIO
0	100	143	1


#id	name	texture_id	tileperRow	tileperColumn
[MAP]
7000	textures\Map\Overworld\overworld-1-map.tmx	30	8	4
[HUD]
99900
[FONT]
0	99990
1	99991
2	99992
3	99993
4	99994
5	99995
6	99996
7	99997
8	99998
9	99999
a	99001
b	99002
c	99003
d	99004
e	99005
f	99006
g	99007
h	99008
i	99009
j	99010
k	99011
l	99012
m	99013
n	99014
o	99015
p	99016
q	99017
r	99018
s	99019
t	99020
u	99021
v	99022
w	99023
x	99024
y	99025
z	99026
arrowWhite	99910
arrowBlack	99911
powerWhite	99912
powerBlack	99913
mushroom	92001
star	92002
whiteflower	92003

[DATA]
player-data.txt
